timestamp,conn_id,start,end
2026-07-15T02:05:17.0988613Z,conn1,12064321,12104000
2026-07-15T02:05:17.100882Z,conn1,12132321,12172000
2026-07-15T02:05:17.1543137Z,conn1,12200321,12240000
2026-07-15T02:05:17.1581977Z,conn1,12292256,12308000
2026-07-15T02:05:17.1594354Z,conn1,12352001,12376000
2026-07-15T02:05:17.1607624Z,conn1,12420001,12444000
2026-07-15T02:05:17.1620419Z,conn1,12488001,12512000
2026-07-15T02:05:17.2209027Z,conn1,12556001,12580000
2026-07-15T02:05:17.2410188Z,conn1,12612523,12648000
2026-07-15T02:05:17.273384Z,conn1,12680523,12716000
2026-07-15T02:05:17.2840599Z,conn1,12748523,12784000
2026-07-15T02:05:17.3124493Z,conn1,12816523,12852000
2026-07-15T02:05:17.3551062Z,conn1,12886707,12920000
2026-07-15T02:05:17.3571371Z,conn1,12954707,12988000
2026-07-15T02:05:17.3903514Z,conn1,13022707,13056000
2026-07-15T02:05:17.4429728Z,conn1,13104462,13124000
2026-07-15T02:05:17.4441129Z,conn1,13172462,13192000
2026-07-15T02:05:17.4452386Z,conn1,13235086,13260000
2026-07-15T02:05:17.4588616Z,conn1,13303086,13328000
2026-07-15T02:05:17.4644061Z,conn1,13371086,13396000
2026-07-15T02:05:17.4708579Z,conn1,13439086,13464000
2026-07-15T02:05:17.5194697Z,conn1,13507086,13532000
2026-07-15T02:05:17.5518414Z,conn1,13565489,13600000
2026-07-15T02:05:17.5750542Z,conn1,13633489,13668000
2026-07-15T02:05:17.5993589Z,conn1,13701489,13736000
2026-07-15T02:05:17.628823Z,conn1,13763033,13804000
2026-07-15T02:05:17.6566153Z,conn1,13831033,13872000
2026-07-15T02:05:17.6635538Z,conn1,13923307,13940000
2026-07-15T02:05:17.6646632Z,conn1,13991307,14008000
2026-07-15T02:05:17.6932308Z,conn1,14052876,14076000
2026-07-15T02:05:17.694388Z,conn1,14120876,14144000
2026-07-15T02:05:17.7143977Z,conn1,14188876,14212000
2026-07-15T02:05:17.7327259Z,conn1,14241868,14280000
2026-07-15T02:05:17.7706574Z,conn1,14309868,14348000
2026-07-15T02:05:17.784632Z,conn1,14380017,14416000
2026-07-15T02:05:17.7947726Z,conn1,14448017,14484000
2026-07-15T02:05:17.832339Z,conn1,14516017,14552000
2026-07-15T02:05:17.8443219Z,conn1,14592886,14620000
2026-07-15T02:05:17.859166Z,conn1,14660886,14688000
2026-07-15T02:05:17.8706079Z,conn1,14725134,14756000
2026-07-15T02:05:17.8806681Z,conn1,14793134,14824000
2026-07-15T02:05:17.9106887Z,conn1,14861134,14892000
2026-07-15T02:05:17.9335445Z,conn1,14929134,14960000
2026-07-15T02:05:17.9491907Z,conn1,14987411,15028000
2026-07-15T02:05:17.9792431Z,conn1,15055411,15096000
2026-07-15T02:05:17.9906946Z,conn1,15129881,15164000
2026-07-15T02:05:18.0116717Z,conn1,15197881,15232000
2026-07-15T02:05:18.0419003Z,conn1,15265881,15300000
2026-07-15T02:05:18.0519488Z,conn1,15333881,15368000
2026-07-15T02:05:18.0604334Z,conn1,15416473,15436000
2026-07-15T02:05:18.075057Z,conn1,15484473,15504000
2026-07-15T02:05:18.0821959Z,conn1,15552473,15572000
2026-07-15T02:05:18.1024381Z,conn1,15620473,15640000
2026-07-15T02:05:18.1160928Z,conn1,15672839,15708000
2026-07-15T02:05:18.1318399Z,conn1,15740839,15776000
2026-07-15T02:05:18.1593841Z,conn1,15808839,15844000
2026-07-15T02:05:18.1629006Z,conn1,15884697,15912000
2026-07-15T02:05:18.1829339Z,conn1,15952697,15980000
2026-07-15T02:05:18.2057597Z,conn1,16020697,16048000
2026-07-15T02:05:18.2278179Z,conn1,16088697,16116000
2026-07-15T02:05:18.2300231Z,conn1,16155681,16184000
2026-07-15T02:05:18.2438249Z,conn1,16223681,16252000
2026-07-15T02:05:18.2578296Z,conn1,16291681,16320000
2026-07-15T02:05:18.2786952Z,conn1,16356665,16388000
2026-07-15T02:05:18.3031686Z,conn1,16424665,16456000
2026-07-15T02:05:18.3162646Z,conn1,16496282,16524000
2026-07-15T02:05:18.3252137Z,conn1,16564282,16592000
2026-07-15T02:05:18.3889601Z,conn1,16632282,16660000
2026-07-15T02:05:18.4377579Z,conn1,16700282,16728000
2026-07-15T02:05:18.4389352Z,conn1,16762113,16796000
2026-07-15T02:05:18.4405671Z,conn1,16830113,16864000
2026-07-15T02:05:18.4416827Z,conn1,16898113,16932000
2026-07-15T02:05:18.4652394Z,conn1,16970247,17000000
2026-07-15T02:05:18.4876528Z,conn1,17038247,17068000
2026-07-15T02:05:18.488762Z,conn1,17106247,17136000
2026-07-15T02:05:18.5282771Z,conn1,17174247,17204000
2026-07-15T02:05:18.529373Z,conn1,17252354,17272000
2026-07-15T02:05:18.533657Z,conn1,17320354,17340000
2026-07-15T02:05:18.5437162Z,conn1,17388354,17408000
2026-07-15T02:05:18.5578438Z,conn1,17456354,17476000
2026-07-15T02:05:18.5628077Z,conn1,17524354,17544000
2026-07-15T02:05:18.5822542Z,conn1,17580368,17612000
2026-07-15T02:05:18.620868Z,conn1,17648368,17680000
2026-07-15T02:05:18.6219682Z,conn1,17726050,17748000
2026-07-15T02:05:18.6279017Z,conn1,17794050,17816000
2026-07-15T02:05:18.6438746Z,conn1,17862050,17884000
2026-07-15T02:05:18.6670399Z,conn1,17930050,17952000
2026-07-15T02:05:18.6713741Z,conn1,17998050,18020000
2026-07-15T02:05:18.7298649Z,conn1,18047084,18088000
2026-07-15T02:05:18.7492194Z,conn1,18142564,18156000
2026-07-15T02:05:18.7561032Z,conn1,18210564,18224000
2026-07-15T02:05:18.7621336Z,conn1,18278564,18292000
2026-07-15T02:05:18.7874064Z,conn1,18346564,18360000
2026-07-15T02:05:18.7879613Z,conn1,18414564,18428000
2026-07-15T02:05:18.7885207Z,conn1,18482564,18496000
2026-07-15T02:05:18.7981703Z,conn1,18525147,18564000
2026-07-15T02:05:18.8550954Z,conn1,18593147,18632000
2026-07-15T02:05:18.8571409Z,conn1,18680441,18700000
